DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;6903291;2020-11-27;IRIDIUM;NOVA;SBE41CP;SBD9602F;Dimitris KASSIS;ARGO Greece;A;004;_;-;_;_;-
coriolis;69034;2000-09-20;ARGOS;PROVOR;X;X;Christine Coatanoan;POMME;NA;_;074;-;_;_;-
coriolis;69035;2000-09-21;ARGOS;PROVOR;X;X;Christine Coatanoan;POMME;NA;_;049;-;_;_;-
coriolis;6903545;2018-05-29;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10482;Kjell Arne Mork;NorArgo;A;093;084;2020-09-15;_;_;-
coriolis;6903546;2018-05-29;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10495;Kjell Arne Mork;NorArgo;A;093;044;2019-08-21;_;_;-
coriolis;6903547;2018-05-31;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10496;Kjell Arne Mork;NorArgo;A;093;084;2020-09-18;_;_;-
coriolis;6903548;2018-06-30;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10485;Kjell Arne Mork;NorArgo;NA;044;_;-;_;_;-
coriolis;6903549;2019-05-19;IRIDIUM;PROVOR_III;SBE41CP;11159;Kjell Arne Mork;Norway-BGC-Argo;A;115;_;-;115;113;-
coriolis;6903550;2019-05-20;IRIDIUM;PROVOR_III;SBE41CP;11291;Kjell Arne Mork;Norway-BGC-Argo;A;115;_;-;115;113;-
coriolis;6903551;2019-05-29;IRIDIUM;PROVOR_III;SBE41CP;11296;Kjell Arne Mork;Norway-BGC-Argo;A;114;_;-;114;112;-
coriolis;6903553;2019-05-20;IRIDIUM;APEX;SBE41CP_V7.2.5;10381;Kjell Arne Mork;ARGO Norway;NA;091;_;-;091;065;-
coriolis;6903554;2019-05-19;IRIDIUM;APEX;SBE41CP_V7.2.5;10382;Kjell Arne Mork;ARGO Norway;A;126;_;-;126;112;-
coriolis;6903555;2019-05-29;IRIDIUM;APEX;SBE41CP;10386;Kjell Arne Mork;ARGO Norway;NA;080;_;-;080;074;-
coriolis;6903556;2020-05-17;IRIDIUM;ARVOR_D;SBE41CP;10980;Kjell Arne Mork;NorArgo2;A;022;_;-;022;_;-
coriolis;6903557;2019-05-20;IRIDIUM;ARVOR_D;SBE41CP;10986;Kjell Arne Mork;Norway-BGC-Argo;A;058;_;-;058;033;2020-04-27
coriolis;6903558;2019-05-29;IRIDIUM;ARVOR_D;SBE41CP;11139;Kjell Arne Mork;Norway-BGC-Argo;A;056;_;-;056;050;2020-10-08
coriolis;6903559;2019-06-01;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10990;Kjell Arne Mork;NorArgo;A;057;_;-;_;_;-
coriolis;6903560;2019-05-27;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10995;Kjell Arne Mork;NorArgo;A;057;_;-;_;_;-
coriolis;6903561;2019-05-27;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10996;Kjell Arne Mork;NorArgo;A;057;_;-;_;_;-
coriolis;6903562;2019-06-02;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10941;Kjell Arne Mork;NorArgo;A;057;_;-;_;_;-
coriolis;6903563;2019-05-28;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10958;Kjell Arne Mork;NorArgo;A;057;_;-;_;_;-
coriolis;6903564;2019-11-25;IRIDIUM;ARVOR;SBE41CP_V7.2.5;11718;Kjell Arne Mork;NorArgo;A;128;_;-;_;_;-
coriolis;6903565;2020-05-07;IRIDIUM;ARVOR;SBE41CP_V7.2.5;11745;Kjell Arne Mork;NorArgo;A;074;_;-;_;_;-
coriolis;6903566;2020-05-14;IRIDIUM;ARVOR;SBE41CP_V7.2.5;11746;Kjell Arne Mork;NorArgo;A;022;_;-;_;_;-
coriolis;6903567;2020-05-14;IRIDIUM;APEX;SBE41CP;11577;Kjell Arne Mork;Argo-Norway;A;043;_;-;043;_;-
coriolis;6903568;2020-05-16;IRIDIUM;APEX;SBE41CP;11578;Kjell Arne Mork;Argo-Norway;A;043;_;-;043;_;-
coriolis;6903569;2020-05-17;IRIDIUM;APEX;SBE41CP;11785;Kjell Arne Mork;Argo-Norway;A;042;_;-;042;_;-
coriolis;6903570;2020-08-28;IRIDIUM;APEX;SBE41CP;11776;Kjell Arne Mork;Argo-Norway;A;022;_;-;022;_;-
coriolis;6903571;2020-05-14;IRIDIUM;ARVOR_D;SBE41CP;12249;Kjell Arne Mork;NorArgo2;A;022;_;-;022;_;-
coriolis;6903572;2020-08-26;IRIDIUM;ARVOR_D;SBE41CP;11302;Kjell Arne Mork;NorArgo2;A;011;_;-;011;_;-
coriolis;6903573;2020-08-28;IRIDIUM;ARVOR_D;SBE41CP;12263;Kjell Arne Mork;NorArgo2;A;011;_;-;011;_;-
coriolis;6903574;2020-08-25;IRIDIUM;PROVOR_III;SBE41CP;12716;Kjell Arne Mork;NorArgo2;A;023;_;-;023;_;-
coriolis;69036;2000-09-22;ARGOS;PROVOR;X;X;Christine Coatanoan;POMME;NA;_;095;-;_;_;-
coriolis;6903695;2018-09-28;IRIDIUM;APEX;SBE41CP_V7.2.5;10078;J. Haapala;ARGO-FINLAND;NA;158;_;-;158;_;-
coriolis;6903697;2018-10-15;IRIDIUM;APEX;SBE41CP_V2;5699;Laura Tuomi;ARGO-FINLAND;NA;063;_;-;063;_;-
coriolis;6903698;2019-05-30;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10946;Laura Tuomi;ARGO-FINLAND;A;288;_;-;_;_;-
coriolis;6903699;2019-05-30;IRIDIUM;APEX;SBE41CP;10306;Laura Tuomi;ARGO-FINLAND;A;108;_;-;108;_;-
coriolis;69037;2000-09-22;ARGOS;PROVOR;X;X;Christine Coatanoan;POMME;NA;_;022;-;_;_;-
coriolis;6903700;2019-06-01;IRIDIUM;APEX;SBE41CP;10379;Laura Tuomi;ARGO-FINLAND;A;089;_;-;089;_;-
coriolis;6903701;2019-08-17;IRIDIUM;APEX;SBE41CP;10305;Laura Tuomi;ARGO-FINLAND;A;097;_;-;097;_;-
coriolis;6903703;2020-06-10;IRIDIUM;ARVOR;SBE41CP;41_11996;Laura Tuomi;Euro-Argo RISE;A;054;_;-;_;_;-
coriolis;6903704;2020-06-10;IRIDIUM;APEX;SBE41CP;11793;L. Tuomi;Argo-Finland;A;054;_;-;054;_;-
